count,weekday,hour
16,0,0
12,1,1
4,2,2
10,3,3
8,4,4
13,5,5
7,6,6
26,0,7
49,1,8
51,2,9
53,3,10
46,4,11
40,5,12
47,6,13
27,0,14
36,1,15
30,2,16
26,3,17
23,4,18
33,5,19
32,6,20
40,0,21
51,1,22
61,2,23
8,3,0
39,4,1
16,5,2
4,6,3
6,0,4
11,1,5
12,2,6
24,3,7
22,4,8
34,5,9
26,6,10
36,0,11
47,1,12
34,2,13
26,3,14
37,4,15
19,5,16
44,6,17
28,0,18
79,1,19
72,2,20
45,3,21
36,4,22
7,5,23
20,6,0
15,0,1
14,1,2
8,2,3
6,3,4
5,4,5
12,5,6
23,6,7
47,0,8
24,1,9
23,2,10
33,3,11
29,4,12
32,5,13
28,6,14
29,0,15
26,1,16
34,2,17
56,3,18
29,4,19
100,5,20
35,6,21
60,0,22
18,1,23
24,2,0
15,3,1
19,4,2
9,5,3
6,6,4
4,0,5
10,1,6
11,2,7
20,3,8
41,4,9
32,5,10
46,6,11
79,0,12
57,1,13
65,2,14
41,3,15
49,4,16
51,5,17
47,6,18
31,0,19
38,1,20
27,2,21
16,3,22
50,4,23
36,5,0
10,6,1
3,0,2
11,1,3
7,2,4
9,3,5
6,4,6
14,5,7
15,6,8
34,0,9
38,1,10
26,2,11
64,3,12
74,4,13
81,5,14
63,6,15
75,0,16
150,1,17
75,2,18
76,3,19
109,4,20
69,5,21
50,6,22
30,0,23
40,1,0
13,2,1
1,3,2
19,4,3
4,5,4
8,6,5
1,0,6
13,1,7
22,2,8
42,3,9
21,4,10
27,5,11
57,6,12
44,0,13
49,1,14
30,2,15
23,3,16
20,4,17
33,5,18
43,6,19
30,0,20
54,1,21
49,2,22
24,3,23
17,4,0
6,5,1
16,6,2
1,0,3
7,1,4
5,2,5
9,3,6
14,4,7
16,5,8
25,6,9
41,0,10
58,1,11
47,2,12
49,3,13
66,4,14
51,5,15
28,6,16
23,0,17
39,1,18
29,2,19
29,3,20
38,4,21
36,5,22
24,6,23
